Task Level,DC,Failure,Success (T),Success (E),Success (M),Success (L)
0,14,0.01,0.05,0.05,0.05,0.05
1,15,0.02,0.20,0.20,0.20,0.20
2,16,0.04,0.30,0.30,0.30,0.30
3,18,0.08,0.50,0.50,0.50,0.50
4,19,0.10,0.70,0.80,0.80,0.80
5,20,0.20,0.90,1.00,1.00,1.00
6,22,0.30,1.50,2.00,2.00,2.00
7,23,0.40,2.00,2.50,2.50,2.50
8,24,0.50,2.50,3.00,3.00,3.00
9,26,0.60,3.00,4.00,4.00,4.00
10,27,0.70,4.00,5.00,6.00,6.00
11,28,0.80,5.00,6.00,8.00,8.00
12,30,0.90,6.00,8.00,10.00,10.00
13,31,1.00,7.00,10.00,15.00,15.00
14,32,1.50,8.00,15.00,20.00,20.00
15,34,2.00,10.00,20.00,28.00,28.00
16,35,2.50,13.00,25.00,36.00,40.00
17,36,3.00,15.00,30.00,45.00,55.00
18,38,4.00,20.00,45.00,70.00,90.00
19,39,6.00,30.00,60.00,100.00,130.00
20,40,8.00,40.00,75.00,150.00,200.00
